	AD1X24b	AD1X24c	AD1X24d	AD1X7a	AD1X7b	AD1X7c	AD1Y24b	AD1Y24c	AD1Y24d	AD1Y7a	AD1Y7c	AD1Y7d	AD8X24b	AD8X24c	AD8X24d	AD8X7a	AD8X7b	AD8X7c	AD8Y24a	AD8Y24b	AD8Y24c	AD8Y7a	AD8Y7c	AD8Y7d
OG0000000	-0.0453452	0.0776109	0.112107	0.0319671	0.00878501	0.00403048	0.00983827	0.122197	0.0792946	-0.123694	-0.115244	-0.161547	-0.0391051	-0.099303	-0.00608542	-0.122091	-0.0465837	-0.0580427	0.0319693	0.0796204	0.182136	0.0885023	-0.0397337	0.028716
OG0000001	0.105854	0.172634	0.0682604	0.180533	0.175083	0.172466	-0.13097	-0.0820216	-0.118217	-0.169467	-0.16473	-0.209424	0.0824071	0.0590294	0.0523101	0.0309751	0.00336531	-0.0455391	-0.054675	-0.00503711	-0.067207	-0.00538875	0.0193618	-0.0696019
OG0000002	-0.0231072	0.0702677	-0.0244331	0.0355018	0.0274864	0.0673422	-0.0639406	0.0084789	-0.0747936	0.0422616	-0.0542128	-0.0108511	0.114534	0.102049	0.154686	0.0127155	-0.0700146	-0.0309138	-0.156548	-0.0726569	-0.090048	0.006724	0.0112463	0.0182266
OG0000003	0.112329	0.108463	0.0280974	-0.0202874	0.0344895	-0.0327222	-0.0855085	0.0512737	-0.0518046	-0.0175292	-0.0655446	-0.0612557	0.179554	0.18713	-0.519285	0.21447	-0.0457409	-0.206642	0.148329	0.096542	-0.148807	0.0311287	-0.146855	0.210176
OG0000004	0.0995594	0.238045	0.136188	0.0944202	0.122757	0.102211	-0.171813	0.0107462	-0.0772232	-0.163175	-0.174318	-0.217399	-0.226426	-0.0536274	-0.245734	-0.0611106	0.00878735	-0.139383	0.0133899	0.12105	0.0600842	0.184859	0.192733	0.145378
OG0000005	-0.0471025	0.041952	-0.00607774	-0.195548	-0.152698	-0.184253	0.242424	0.414378	0.371741	-0.17947	-0.116315	-0.18903	-0.0283134	0.209956	0.071218	-0.149954	-0.14486	-0.115619	0.0644083	0.0675415	0.0967895	-0.0333356	-0.0332472	-0.00458341
OG0000006	0.0539025	0.0317311	-0.0353918	-0.100812	-0.0677061	-0.108492	0.0817595	0.102502	0.147552	0.0184851	-0.0629711	-0.0605594	-0.0600476	0.0212552	-0.0410119	-0.0533472	0.0982693	0.00150596	-0.00693816	0.0983519	-0.163205	0.0549751	-0.0235196	0.0737121
OG0000007	0.0404835	0.00766046	0.0631485	-0.0703653	-0.0553283	-0.025766	0.0696988	0.0354491	0.0679249	-0.0516758	-0.0499983	-0.0312315	0.248681	0.114368	-0.0657449	-0.0481699	0.00430525	-0.107908	0.0256516	-0.0679833	-0.0183536	0.0817043	-0.088653	-0.0778974
OG0000008	-0.0615204	0.0368311	-0.0343857	-0.428298	-0.186378	-0.227388	0.491947	0.571198	0.64662	-0.371047	-0.166894	-0.270685	-0.0636927	0.284857	0.115629	-0.0784602	-0.00745693	-0.0427269	0.0214767	-0.119713	-0.140461	0.00722604	-0.0217463	0.0450677
OG0000010	0.0238253	0.0422399	-0.0369756	0.00932321	-0.00671077	-0.00507399	-0.0604461	0.108031	-0.145322	0.119151	-0.0451097	-0.00293295	-0.128474	0.054379	-0.0214922	0.243799	0.246538	-0.0729277	-0.128474	0.0400301	-0.128474	0.152047	-0.128474	-0.128474
