rotifer	infprop_72
AD008   0.875
AD008   0.9
AD008   0.428571429
AD008   0.6875
AD008   0.636363636
AD008   0.533333333
AD008   0.565217391
AD008   0.666666667
AD008   0.5625
AD008   0.769230769
AD008   0.888888889
AD008   0.666666667
AD008   0.777777778
AD008   1
AD008   0.857142857
AD008   0.571428571
AD001	0
AD001	0.142857143
AD001	0.1
AD001	0.166666667
AD001	0
AD001	0.142857143
AD001	0.166666667
AD001	0
AD001	0.266666667
AD001	0.25
AD001	0.111111111
AD001	0.133333333
AD001	0.285714286
AD001	0.416666667
AD001	0.555555556
AD001	0.111111111
AD001	0.142857143
AD001	0.214285714
AD001	0.181818182
AD001	0.111111111
AD001	0.333333333
