SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Ar	BUSCO	telo	ARIC00099	64495	89495	EOG0937004M:Duplicated	36	25000	0.00144
Ar	BUSCO	telo	ARIC00099	97059	122059	EOG0937004M:Duplicated	24	25000	0.00096
Ar	BUSCO	telo	ARIC00256	154467	179467	EOG0937004M:Duplicated	42	25000	0.00168
Ar	BUSCO	telo	ARIC00256	188520	193110	EOG0937004M:Duplicated	6	4590	0.00130718954248366
Ar	BUSCO	telo	ARIC00045	249811	274811	EOG09370082:Complete	36	25000	0.00144
Ar	BUSCO	telo	ARIC00045	290615	315615	EOG09370082:Complete	24	25000	0.00096
Ar	BUSCO	telo	ARIC00045	100773	125773	EOG093700N7:Complete	30	25000	0.0012
Ar	BUSCO	telo	ARIC00045	130378	155378	EOG093700N7:Complete	42	25000	0.00168
Ar	BUSCO	telo	ARIC00280	0	5175	EOG0937017X:Complete	0	5175	0
Ar	BUSCO	telo	ARIC00280	15473	40473	EOG0937017X:Complete	60	25000	0.0024
Ar	BUSCO	telo	ARIC00095	299477	324477	EOG0937018Z:Duplicated	36	25000	0.00144
Ar	BUSCO	telo	ARIC00095	331876	356876	EOG0937018Z:Duplicated	42	25000	0.00168
Ar	BUSCO	telo	ARIC00199	204984	229984	EOG0937018Z:Duplicated	30	25000	0.0012
Ar	BUSCO	telo	ARIC00199	235126	247095	EOG0937018Z:Duplicated	18	11969	0.00150388503634389
Ar	BUSCO	telo	ARIC00042	511834	536834	EOG0937019B:Duplicated	24	25000	0.00096
Ar	BUSCO	telo	ARIC00042	544810	569810	EOG0937019B:Duplicated	24	25000	0.00096
Ar	BUSCO	telo	ARIC00295	33476	58476	EOG0937019B:Duplicated	30	25000	0.0012
Ar	BUSCO	telo	ARIC00295	476	25476	EOG0937019B:Duplicated	36	25000	0.00144
Ar	BUSCO	telo	ARIC00263	115043	140043	EOG093701EE:Duplicated	30	25000	0.0012
Ar	BUSCO	telo	ARIC00263	152442	177442	EOG093701EE:Duplicated	30	25000	0.0012
Ar	BUSCO	telo	ARIC00347	27042	52042	EOG093701EE:Duplicated	30	25000	0.0012
Ar	BUSCO	telo	ARIC00347	59403	84403	EOG093701EE:Duplicated	18	25000	0.00072
Ar	BUSCO	telo	ARIC00105	230422	255422	EOG093701IQ:Duplicated	42	25000	0.00168
Ar	BUSCO	telo	ARIC00105	264231	289231	EOG093701IQ:Duplicated	12	25000	0.00048
Ar	BUSCO	telo	ARIC00122	102722	127722	EOG093701IQ:Duplicated	6	25000	0.00024
Ar	BUSCO	telo	ARIC00122	69045	94045	EOG093701IQ:Duplicated	42	25000	0.00168
Ar	BUSCO	telo	ARIC00073	103558	128558	EOG093701S0:Duplicated	30	25000	0.0012
Ar	BUSCO	telo	ARIC00073	70028	95028	EOG093701S0:Duplicated	36	25000	0.00144
Ar	BUSCO	telo	ARIC00082	222719	247719	EOG093701S0:Duplicated	18	25000	0.00072
Ar	BUSCO	telo	ARIC00082	257847	282847	EOG093701S0:Duplicated	30	25000	0.0012
Ar	BUSCO	telo	ARIC00277	100964	125964	EOG093701S0:Duplicated	24	25000	0.00096
Ar	BUSCO	telo	ARIC00277	66388	91388	EOG093701S0:Duplicated	24	25000	0.00096
Ar	BUSCO	telo	ARIC00428	66316	91316	EOG093701SQ:Duplicated	60	25000	0.0024
Ar	BUSCO	telo	ARIC00428	99109	105983	EOG093701SQ:Duplicated	6	6874	0.000872854233343032
Ar	BUSCO	telo	ARIC00615	10293	35293	EOG093701SQ:Duplicated	12	25000	0.00048
Ar	BUSCO	telo	ARIC00615	42088	62202	EOG093701SQ:Duplicated	42	20114	0.0020880978422989
Ar	BUSCO	telo	ARIC00011	18394	43394	EOG093701V7:Duplicated	54	25000	0.00216
Ar	BUSCO	telo	ARIC00011	50668	75668	EOG093701V7:Duplicated	78	25000	0.00312
Ar	BUSCO	telo	ARIC00063	350339	375339	EOG093701V7:Duplicated	72	25000	0.00288
Ar	BUSCO	telo	ARIC00063	381242	406242	EOG093701V7:Duplicated	60	25000	0.0024
Ar	BUSCO	telo	ARIC00169	109972	134972	EOG0937029K:Duplicated	36	25000	0.00144
Ar	BUSCO	telo	ARIC00169	142189	167189	EOG0937029K:Duplicated	60	25000	0.0024
Ar	BUSCO	telo	ARIC00206	189388	214388	EOG0937029K:Duplicated	24	25000	0.00096
Ar	BUSCO	telo	ARIC00206	217364	236099	EOG0937029K:Duplicated	36	18735	0.00192153722978383
Ar	BUSCO	telo	ARIC00002	1482021	1507021	EOG093702AT:Duplicated	42	25000	0.00168
Ar	BUSCO	telo	ARIC00002	1515327	1540327	EOG093702AT:Duplicated	30	25000	0.0012
