SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	SPAN
Av	NRPS	telo	AVAG00005	121592	146592	AVAG|g1183.t1	90	25000	0.0036
Av	NRPS	telo	AVAG00005	86162	111162	AVAG|g1183.t1	78	25000	0.00312
Av	NRPS	telo	AVAG00005	124174	149174	AVAG|g1184.t1	90	25000	0.0036
Av	NRPS	telo	AVAG00005	96745	121745	AVAG|g1184.t1	66	25000	0.00264
Av	NRPS	telo	AVAG00005	129493	154493	AVAG|g1185.t1	120	25000	0.0048
Av	NRPS	telo	AVAG00005	99665	124665	AVAG|g1185.t1	66	25000	0.00264
Av	NRPS	telo	AVAG00102	381183	406183	AVAG|g18640.t1	90	25000	0.0036
Av	NRPS	telo	AVAG00102	413329	432004	AVAG|g18640.t1	12	18675	0.000642570281124498
Av	NRPS	telo	AVAG00102	389472	414472	AVAG|g18641.t1	42	25000	0.00168
Av	NRPS	telo	AVAG00102	419969	432004	AVAG|g18641.t1	12	12035	0.000997091815538014
Av	NRPS	telo	AVAG00102	399225	424225	AVAG|g18642.t1	6	25000	0.00024
Av	NRPS	telo	AVAG00146	0	24160	AVAG|g23567.t1	72	24160	0.00298013245033113
Av	NRPS	telo	AVAG00146	37252	62252	AVAG|g23567.t1	48	25000	0.00192
Av	NRPS	telo	AVAG00010	529444	554444	AVAG|g2856.t1	96	25000	0.00384
Av	NRPS	telo	AVAG00010	559305	584305	AVAG|g2856.t1	114	25000	0.00456
Av	NRPS	telo	AVAG00254	168599	193599	AVAG|g33165.t1	114	25000	0.00456
Av	NRPS	telo	AVAG00254	200859	225859	AVAG|g33165.t1	36	25000	0.00144
Av	NRPS	telo	AVAG00323	120941	145941	AVAG|g37374.t1	150	25000	0.006
Av	NRPS	telo	AVAG00323	159219	184219	AVAG|g37374.t1	168	25000	0.00672
Av	NRPS	telo	AVAG00347	0	6188	AVAG|g38642.t1	60	6188	0.0096961861667744
Av	NRPS	telo	AVAG00347	19665	44665	AVAG|g38642.t1	42	25000	0.00168
Av	NRPS	telo	AVAG00351	40129	65129	AVAG|g38862.t1	204	25000	0.00816
Av	NRPS	telo	AVAG00351	73316	98316	AVAG|g38862.t1	114	25000	0.00456
Av	NRPS	telo	AVAG00351	147465	172465	AVAG|g38887.t1	186	25000	0.00744
Av	NRPS	telo	AVAG00351	175077	182182	AVAG|g38887.t1	6	7105	0.000844475721323012
Av	NRPS	telo	AVAG00360	124139	149139	AVAG|g39354.t1	18	25000	0.00072
Av	NRPS	telo	AVAG00360	87676	112676	AVAG|g39354.t1	18	25000	0.00072
Av	NRPS	telo	AVAG00360	104592	129592	AVAG|g39356.t1	36	25000	0.00144
Av	NRPS	telo	AVAG00360	139044	164044	AVAG|g39356.t1	24	25000	0.00096
Av	NRPS	telo	AVAG00385	14759	39759	AVAG|g40644.t1	12	25000	0.00048
Av	NRPS	telo	AVAG00385	43311	68311	AVAG|g40644.t1	18	25000	0.00072
Av	NRPS	telo	AVAG00401	0	18214	AVAG|g41411.t1	30	18214	0.00164708466015153
Av	NRPS	telo	AVAG00401	24287	49287	AVAG|g41411.t1	90	25000	0.0036
Av	NRPS	telo	AVAG00016	105326	130326	AVAG|g4225.t1	96	25000	0.00384
Av	NRPS	telo	AVAG00016	64251	89251	AVAG|g4225.t1	108	25000	0.00432
Av	NRPS	telo	AVAG00434	113295	138295	AVAG|g42807.t1	186	25000	0.00744
Av	NRPS	telo	AVAG00434	75276	100276	AVAG|g42807.t1	216	25000	0.00864
Av	NRPS	telo	AVAG00441	25813	50813	AVAG|g43082.t1	84	25000	0.00336
