SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Av	BUSCO	genes	AVAG00039	438860	463860	EOG0937004M:Duplicated	12659	25000	0.50636
Av	BUSCO	genes	AVAG00039	472581	497581	EOG0937004M:Duplicated	19697	25000	0.78788
Av	BUSCO	genes	AVAG00335	40573	65573	EOG0937004M:Duplicated	17140	25000	0.6856
Av	BUSCO	genes	AVAG00335	75528	100528	EOG0937004M:Duplicated	21985	25000	0.8794
Av	BUSCO	genes	AVAG00685	0	9169	EOG0937004M:Duplicated	3195	9169	0.348456756461991
Av	BUSCO	genes	AVAG00685	25398	50398	EOG0937004M:Duplicated	20216	25000	0.80864
Av	BUSCO	genes	AVAG00086	347979	372979	EOG09370082:Duplicated	14540	25000	0.5816
Av	BUSCO	genes	AVAG00086	380775	405775	EOG09370082:Duplicated	19666	25000	0.78664
Av	BUSCO	genes	AVAG00163	222275	247275	EOG09370082:Duplicated	13715	25000	0.5486
Av	BUSCO	genes	AVAG00163	255072	280072	EOG09370082:Duplicated	15089	25000	0.60356
Av	BUSCO	genes	AVAG00086	184899	209899	EOG093700N7:Duplicated	16679	25000	0.66716
Av	BUSCO	genes	AVAG00086	214109	239109	EOG093700N7:Duplicated	16204	25000	0.64816
Av	BUSCO	genes	AVAG00365	58668	83668	EOG093700N7:Duplicated	13827	25000	0.55308
Av	BUSCO	genes	AVAG00365	87886	112886	EOG093700N7:Duplicated	7881	25000	0.31524
Av	BUSCO	genes	AVAG00154	115669	140669	EOG0937017X:Complete	14966	25000	0.59864
Av	BUSCO	genes	AVAG00154	146913	171913	EOG0937017X:Complete	13845	25000	0.5538
Av	BUSCO	genes	AVAG00003	633599	658599	EOG0937018Z:Duplicated	14842	25000	0.59368
Av	BUSCO	genes	AVAG00003	664631	689631	EOG0937018Z:Duplicated	20130	25000	0.8052
Av	BUSCO	genes	AVAG00345	34360	59360	EOG0937018Z:Duplicated	18969	25000	0.75876
Av	BUSCO	genes	AVAG00345	66227	91227	EOG0937018Z:Duplicated	16240	25000	0.6496
Av	BUSCO	genes	AVAG00464	34024	59024	EOG0937018Z:Duplicated	16182	25000	0.64728
Av	BUSCO	genes	AVAG00464	64183	89183	EOG0937018Z:Duplicated	15993	25000	0.63972
Av	BUSCO	genes	AVAG00027	363832	388832	EOG0937019B:Duplicated	10440	25000	0.4176
Av	BUSCO	genes	AVAG00027	395586	420586	EOG0937019B:Duplicated	13532	25000	0.54128
Av	BUSCO	genes	AVAG00084	359480	384480	EOG0937019B:Duplicated	13989	25000	0.55956
Av	BUSCO	genes	AVAG00084	390990	415990	EOG0937019B:Duplicated	18121	25000	0.72484
Av	BUSCO	genes	AVAG00060	419638	444638	EOG093701EE:Duplicated	12008	25000	0.48032
Av	BUSCO	genes	AVAG00060	451412	476412	EOG093701EE:Duplicated	17844	25000	0.71376
Av	BUSCO	genes	AVAG00158	105282	130282	EOG093701EE:Duplicated	17328	25000	0.69312
Av	BUSCO	genes	AVAG00158	70019	95019	EOG093701EE:Duplicated	13911	25000	0.55644
Av	BUSCO	genes	AVAG00224	190139	215139	EOG093701IQ:Duplicated	17418	25000	0.69672
Av	BUSCO	genes	AVAG00224	226753	251753	EOG093701IQ:Duplicated	19505	25000	0.7802
Av	BUSCO	genes	AVAG00227	15779	40779	EOG093701IQ:Duplicated	7456	25000	0.29824
Av	BUSCO	genes	AVAG00227	50909	75909	EOG093701IQ:Duplicated	14244	25000	0.56976
Av	BUSCO	genes	AVAG00294	133202	158202	EOG093701IQ:Duplicated	17052	25000	0.68208
Av	BUSCO	genes	AVAG00294	97468	122468	EOG093701IQ:Duplicated	16930	25000	0.6772
Av	BUSCO	genes	AVAG00049	324823	349823	EOG093701S0:Duplicated	14096	25000	0.56384
Av	BUSCO	genes	AVAG00049	356986	381986	EOG093701S0:Duplicated	10691	25000	0.42764
Av	BUSCO	genes	AVAG00803	0	24747	EOG093701S0:Duplicated	15545	24747	0.628156948316968
Av	BUSCO	genes	AVAG00803	33876	52139	EOG093701S0:Duplicated	10003	18263	0.547719432732848
Av	BUSCO	genes	AVAG00155	169084	194084	EOG093701SQ:Duplicated	4869	25000	0.19476
Av	BUSCO	genes	AVAG00155	198163	223163	EOG093701SQ:Duplicated	13291	25000	0.53164
Av	BUSCO	genes	AVAG00175	205157	230157	EOG093701SQ:Duplicated	8292	25000	0.33168
Av	BUSCO	genes	AVAG00175	232863	257863	EOG093701SQ:Duplicated	11197	25000	0.44788
Av	BUSCO	genes	AVAG00370	114305	139305	EOG093701SQ:Duplicated	11442	25000	0.45768
Av	BUSCO	genes	AVAG00370	147700	171554	EOG093701SQ:Duplicated	12966	23854	0.543556636203572
Av	BUSCO	genes	AVAG00135	185972	210972	EOG093701V7:Duplicated	8752	25000	0.35008
Av	BUSCO	genes	AVAG00135	216700	241700	EOG093701V7:Duplicated	10631	25000	0.42524
Av	BUSCO	genes	AVAG00293	41805	66805	EOG093701V7:Duplicated	9973	25000	0.39892
Av	BUSCO	genes	AVAG00293	74395	99395	EOG093701V7:Duplicated	8731	25000	0.34924
Av	BUSCO	genes	AVAG00186	26306	51306	EOG0937029K:Complete	4749	25000	0.18996
Av	BUSCO	genes	AVAG00186	54619	79619	EOG0937029K:Complete	20079	25000	0.80316
Av	BUSCO	genes	AVAG00008	758928	783928	EOG093702AT:Duplicated	13001	25000	0.52004
Av	BUSCO	genes	AVAG00008	788629	813629	EOG093702AT:Duplicated	17747	25000	0.70988
Av	BUSCO	genes	AVAG00093	211025	236025	EOG093702AT:Duplicated	15977	25000	0.63908
Av	BUSCO	genes	AVAG00093	240723	265723	EOG093702AT:Duplicated	11551	25000	0.46204
Av	BUSCO	genes	AVAG00191	223280	248280	EOG093702DP:Duplicated	16946	25000	0.67784
Av	BUSCO	genes	AVAG00191	251628	276628	EOG093702DP:Duplicated	1222	25000	0.04888
Av	BUSCO	genes	AVAG00851	15743	40743	EOG093702DP:Duplicated	17474	25000	0.69896
Av	BUSCO	genes	AVAG00851	44095	45252	EOG093702DP:Duplicated	75	1157	0.0648228176318064
Av	BUSCO	genes	AVAG00067	113568	138568	EOG093702MJ:Duplicated	7862	25000	0.31448
Av	BUSCO	genes	AVAG00067	148122	173122	EOG093702MJ:Duplicated	5989	25000	0.23956
Av	BUSCO	genes	AVAG01219	0	1566	EOG093702MJ:Duplicated	1565	1566	0.999361430395913
Av	BUSCO	genes	AVAG01219	11059	14693	EOG093702MJ:Duplicated	1276	3634	0.351128233351679
Av	BUSCO	genes	AVAG00072	244589	269589	EOG093702PE:Duplicated	11005	25000	0.4402
Av	BUSCO	genes	AVAG00072	275389	300389	EOG093702PE:Duplicated	5792	25000	0.23168
Av	BUSCO	genes	AVAG00168	264251	289251	EOG093702PE:Duplicated	11293	25000	0.45172
Av	BUSCO	genes	AVAG00168	295005	320005	EOG093702PE:Duplicated	5800	25000	0.232
Av	BUSCO	genes	AVAG00207	0	5630	EOG0937033T:Duplicated	2034	5630	0.361278863232682
Av	BUSCO	genes	AVAG00207	13308	38308	EOG0937033T:Duplicated	16633	25000	0.66532
Av	BUSCO	genes	AVAG00256	62581	87581	EOG0937033T:Duplicated	15373	25000	0.61492
Av	BUSCO	genes	AVAG00256	95625	120625	EOG0937033T:Duplicated	13518	25000	0.54072
Av	BUSCO	genes	AVAG00331	121246	146246	EOG0937033T:Duplicated	15404	25000	0.61616
Av	BUSCO	genes	AVAG00331	89435	114435	EOG0937033T:Duplicated	15760	25000	0.6304
Av	BUSCO	genes	AVAG00060	207868	232868	EOG0937036L:Complete	13776	25000	0.55104
Av	BUSCO	genes	AVAG00060	241942	266942	EOG0937036L:Complete	3717	25000	0.14868
Av	BUSCO	genes	AVAG00009	682939	707939	EOG093703C8:Complete	14157	25000	0.56628
Av	BUSCO	genes	AVAG00009	710879	735879	EOG093703C8:Complete	9159	25000	0.36636
Av	BUSCO	genes	AVAG00056	119521	144521	EOG093703DY:Duplicated	18425	25000	0.737
Av	BUSCO	genes	AVAG00056	150186	175186	EOG093703DY:Duplicated	17393	25000	0.69572
Av	BUSCO	genes	AVAG00066	263257	288257	EOG093703DY:Duplicated	17243	25000	0.68972
Av	BUSCO	genes	AVAG00066	294720	319720	EOG093703DY:Duplicated	18095	25000	0.7238
Av	BUSCO	genes	AVAG00072	48963	73963	EOG093703N5:Duplicated	18527	25000	0.74108
Av	BUSCO	genes	AVAG00072	80803	105803	EOG093703N5:Duplicated	6376	25000	0.25504
Av	BUSCO	genes	AVAG00168	108930	133930	EOG093703N5:Duplicated	7467	25000	0.29868
Av	BUSCO	genes	AVAG00168	77090	102090	EOG093703N5:Duplicated	12900	25000	0.516
Av	BUSCO	genes	AVAG00764	35112	58935	EOG093703UX:Fragmented	10161	23823	0.42652058934643
Av	BUSCO	genes	AVAG00764	9202	34202	EOG093703UX:Fragmented	4428	25000	0.17712
Av	BUSCO	genes	AVAG00076	213551	238551	EOG093703W1:Duplicated	3949	25000	0.15796
Av	BUSCO	genes	AVAG00076	247355	272355	EOG093703W1:Duplicated	3793	25000	0.15172
Av	BUSCO	genes	AVAG00276	136485	161485	EOG093703W1:Duplicated	8989	25000	0.35956
Av	BUSCO	genes	AVAG00276	170249	195249	EOG093703W1:Duplicated	3625	25000	0.145
Av	BUSCO	genes	AVAG00170	214866	239866	EOG093703WD:Duplicated	10583	25000	0.42332
Av	BUSCO	genes	AVAG00170	247228	272228	EOG093703WD:Duplicated	9085	25000	0.3634
Av	BUSCO	genes	AVAG00247	30132	55132	EOG093703WD:Duplicated	10724	25000	0.42896
Av	BUSCO	genes	AVAG00247	62506	87506	EOG093703WD:Duplicated	11443	25000	0.45772
Av	BUSCO	genes	AVAG00006	772678	797678	EOG093703YA:Duplicated	9169	25000	0.36676
Av	BUSCO	genes	AVAG00006	805679	830679	EOG093703YA:Duplicated	10993	25000	0.43972
Av	BUSCO	genes	AVAG00035	192501	217501	EOG093703YA:Duplicated	17052	25000	0.68208
Av	BUSCO	genes	AVAG00035	224427	249427	EOG093703YA:Duplicated	15265	25000	0.6106
Av	BUSCO	genes	AVAG00263	33340	58340	EOG0937049Y:Complete	13496	25000	0.53984
Av	BUSCO	genes	AVAG00263	65379	90379	EOG0937049Y:Complete	12782	25000	0.51128
Av	BUSCO	genes	AVAG00006	292649	317649	EOG093704GD:Complete	15059	25000	0.60236
Av	BUSCO	genes	AVAG00006	321833	346833	EOG093704GD:Complete	12515	25000	0.5006
Av	BUSCO	genes	AVAG00005	725440	750440	EOG093704HC:Duplicated	17555	25000	0.7022
Av	BUSCO	genes	AVAG00005	756006	781006	EOG093704HC:Duplicated	13785	25000	0.5514
Av	BUSCO	genes	AVAG00018	225024	250024	EOG093704HC:Duplicated	16145	25000	0.6458
Av	BUSCO	genes	AVAG00018	255924	280924	EOG093704HC:Duplicated	17412	25000	0.69648
Av	BUSCO	genes	AVAG00073	203204	228204	EOG093704J7:Duplicated	14118	25000	0.56472
Av	BUSCO	genes	AVAG00073	237071	262071	EOG093704J7:Duplicated	8306	25000	0.33224
Av	BUSCO	genes	AVAG00207	244544	269544	EOG093704J7:Duplicated	6583	25000	0.26332
Av	BUSCO	genes	AVAG00207	274771	290370	EOG093704J7:Duplicated	5505	15599	0.352907237643439
Av	BUSCO	genes	AVAG00053	467529	492529	EOG093704Q0:Duplicated	15201	25000	0.60804
Av	BUSCO	genes	AVAG00053	501094	526094	EOG093704Q0:Duplicated	15633	25000	0.62532
Av	BUSCO	genes	AVAG00398	3005	28005	EOG093704Q0:Duplicated	13278	25000	0.53112
Av	BUSCO	genes	AVAG00025	453460	478460	EOG093704UY:Duplicated	6147	25000	0.24588
Av	BUSCO	genes	AVAG00025	482372	507372	EOG093704UY:Duplicated	9151	25000	0.36604
Av	BUSCO	genes	AVAG00193	156562	181562	EOG093704UY:Duplicated	6951	25000	0.27804
Av	BUSCO	genes	AVAG00193	190453	215453	EOG093704UY:Duplicated	15453	25000	0.61812
Av	BUSCO	genes	AVAG00025	302442	327442	EOG0937050C:Duplicated	14557	25000	0.58228
Av	BUSCO	genes	AVAG00025	331477	356477	EOG0937050C:Duplicated	13920	25000	0.5568
Av	BUSCO	genes	AVAG00330	29893	54893	EOG0937050C:Duplicated	14156	25000	0.56624
Av	BUSCO	genes	AVAG00330	842	25842	EOG0937050C:Duplicated	7875	25000	0.315
Av	BUSCO	genes	AVAG00161	183277	208277	EOG093705DM:Complete	15868	25000	0.63472
Av	BUSCO	genes	AVAG00161	214411	239411	EOG093705DM:Complete	19276	25000	0.77104
Av	BUSCO	genes	AVAG00046	349905	374905	EOG093705E5:Complete	11913	25000	0.47652
