feature	control.is_DE	control.is_DE_down	control.is_DE_up	control.log2FC	control.negLogPadj	control.padj	is.BUSCO	is.HGT	length	t7.is_DE	t7.is_DE_down	t7.is_DE_up	t7.log2FC	t7.negLogPadj	t7.padj	t24.is_DE	t24.is_DE_down	t24.is_DE_up	t24.log2FC	t24.negLogPadj	t24.padj
AVAG|g1183.t1	0	0	0	-1.00756939687661	1.71813790398887	0.0191364817698117	0	1	10431	0	0	0	-0.164243729755391	0.0537199020313751	0.883649625979122	0	0	0	0.519114377601382	0.368274781896484	0.42827745978103
AVAG|g1184.t1	0	0	0	0	0	0	0	1	2430	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g1185.t1	0	0	0	0	0	0	0	1	3546	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g2856.t1	0	0	0	0.295048635353182	0.271607749035067	0.535047391337614	0	1	4251	0	0	0	0.441256374561474	0.173633065569605	0.670450832582125	0	0	0	0.712998617084052	0.92718111958802	0.118254827908
AVAG|g4225.t1	0	0	0	0	0	0	0	1	14988	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g6186.t1	0	0	0	0	0	0	0	1	6990	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g6187.t1	0	0	0	0	0	0	0	1	5139	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g6188.t1	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g8030.t1	0	0	0	0	0	0	0	1	8313	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g8031.t1	0	0	0	0	0	0	0	1	2787	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g18640.t1	0	0	0	0	0	0	0	1	5046	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g18641.t1	0	0	0	0	0	0	0	1	4623	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g18642.t1	0	0	0	0	0	0	0	1	4746	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g23567.t1	0	0	0	1.22391110142508	1.54997885752773	0.028185201400845	0	1	12969	0	0	0	1.56504217791471	1.67797162969348	0.020990770014442	1	0	1	2.50455544706647	14.1486735763574	7.10111300018707e-15
AVAG|g33165.t1	0	0	0	0	0	0	0	0	7047	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g37374.t1	0	0	0	0.219829601757799	0.466917490017465	0.341257739743747	0	1	12450	0	0	0	-0.567096281497195	2.41625732296941	0.00383479963206772	0	0	0	-0.205973686949766	0.262749554856414	0.546072674724797
AVAG|g38642.t1	0	0	0	0.664401934509797	2.02674701561335	0.00940270875848713	0	0	9618	0	0	0	0.365284178982468	0.512790830471006	0.307050047942838	0	0	0	-0.848164082799074	2.33431800463691	0.0046310769294169
AVAG|g38862.t1	0	0	0	-0.199087239461706	0.189325449444909	0.64665784488506	0	1	7821	0	0	0	-0.475388197358915	0.275682255245871	0.530051105648831	0	0	0	0.26220036745627	0.17845882256235	0.663042210742016
AVAG|g38887.t1	0	0	0	0	0	0	0	1	2448	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g39354.t1	0	0	0	0	0	0	0	1	8190	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g39356.t1	0	0	0	0	0	0	0	1	7134	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g40644.t1	0	0	0	0	0	0	0	0	2514	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g41411.t1	0	0	0	0	0	0	0	1	5556	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g42807.t1	0	0	0	0	0	0	0	1	12882	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g43082.t1	0	0	0	0	0	0	0	1	16176	0	0	0	0.2042661163093	0.0338697029807154	0.924975643481693	0	0	0	0.451953354823613	0.288285802471465	0.514889692133387
AVAG|g44090.t1	0	0	0	1.09835474361427	1.09191585831864	0.0809252671339898	0	1	8853	0	0	0	0.752390475759981	0.276990426766363	0.528456900520049	1	1	0	-2.28673738364671	3.27534465013244	0.000530463308757617
AVAG|g44091.t1	0	0	0	0.424678659106706	0.361596737749225	0.434913874123592	0	1	12774	0	0	0	0.476492874636171	0.212752037824341	0.612700115464609	0	0	0	-1.47841888867679	1.57129933900268	0.0268349420024999
AVAG|g44933.t1	0	0	0	0	0	0	0	0	3528	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g46324.t1	0	0	0	0	0	0	0	1	5820	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g48151.t1	0	0	0	0.645787399319909	1.22445230517581	0.0596413815232577	0	1	21486	0	0	0	1.33815433078062	5.15291795366576	7.0320515591592e-06	1	0	1	2.22742420352615	14.1899594742607	6.45714480400792e-15
AVAG|g48794.t1	0	0	0	0	0	0	0	1	7395	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g49180.t1	0	0	0	0	0	0	0	0	7410	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g50310.t1	0	0	0	0	0	0	0	1	6393	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g50457.t1	0	0	0	0	0	0	0	0	2436	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g51262.t1	0	0	0	0.34694073237883	0.439980692054392	0.363094196921245	0	1	7815	0	0	0	0.144417718351456	0.0483298723580805	0.894684941243648	0	0	0	0.630408649638171	0.739060513917962	0.18236415812327
AVAG|g51867.t1	0	0	0	0	0	0	0	0	2577	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g51868.t1	0	0	0	0	0	0	0	1	2037	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g52308.t1	0	0	0	0	0	0	0	1	2304	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g52309.t1	0	0	0	0	0	0	0	1	2649	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g52311.t1	0	0	0	0	0	0	0	0	3942	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g52643.t1	0	0	0	1.23077768292782	5.9043804897725	1.24629114756133e-06	0	1	3549	0	0	0	0.719793251245991	1.64351004773719	0.0227242706031313	0	0	0	-1.6250993630214	7.00894866930431	9.79605761399055e-08
AVAG|g52850.t1	0	0	0	1.12619532597289	7.24548321499279	5.68220352231297e-08	0	1	6738	0	0	0	0.474061856689299	1.50808932499009	0.0310392111297121	0	0	0	-1.41261521956213	6.88309404707344	1.30889844852959e-07
AVAG|g52852.t1	0	0	0	0	0	0	0	1	3830	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g52905.t1	0	0	0	0	0	0	0	0	6501	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g53486.t1	0	0	0	1.16941573329674	1.7357049194107	0.0183778659997263	0	1	9057	0	0	0	0	0	0	0	0	0	-1.16011374312859	1.13229271773724	0.0737407044717193
AVAG|g53785.t1	0	0	0	0	0	0	0	1	11679	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g54378.t1	0	0	0	0	0	0	0	1	5757	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g54567.t1	0	0	0	0	0	0	0	1	2358	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g54602.t1	0	0	0	0	0	0	0	1	10302	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g54690.t1	0	0	0	0	0	0	0	1	7270	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g55121.t1	0	0	0	0	0	0	0	0	6174	0	0	0	0	0	0	0	0	0	0.455367637962464	0.187222072413368	0.64979733759854
AVAG|g55383.t1	0	0	0	0.74422236702298	0.684387807981328	0.206829361865537	0	1	3930	0	0	0	0.861469813429719	0.442392828430386	0.361083107670384	0	0	0	0.671198550216634	0.583674423342726	0.260810803232294
AVAG|g55510.t1	0	0	0	0.896147786121542	5.97628030198984	1.05613563898964e-06	0	1	4755	0	0	0	0.567213323504354	2.53438202127699	0.00292158131765219	0	0	0	-1.02484983768183	5.1822577244147	6.57267677667804e-06
AVAG|g55787.t1	0	0	0	0.330409956004733	0.620039118194519	0.239861685874093	0	1	5487	0	0	0	0.230157587581945	0.202763393546753	0.626955340984691	0	0	0	-1.10440833967143	2.8463219514923	0.00142455115280234
AVAG|g55960.t1	0	0	0	0	0	0	0	1	4783	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g56082.t1	0	0	0	0	0	0	0	1	4746	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g56482.t1	0	0	0	0.600872894660926	1.6626684546744	0.0217436047683103	0	1	3115	0	0	0	0.115425387513421	0.0990311275359764	0.796102288695953	0	0	0	-0.4432990172012	0.60544425211962	0.248059433685964
AVAG|g56693.t1	0	0	0	0	0	0	0	0	1808	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g56801.t1	0	0	0	0	0	0	0	0	2142	0	0	0	0	0	0	0	0	0	0	0	0
AVAG|g56862.t1	0	0	0	0	0	0	0	1	1996	0	0	0	0	0	0	0	0	0	0	0	0
