# BUSCO version is: 3.0.2 
# The lineage dataset is: eukaryota_odb9 (Creation date: 2016-11-02, number of species: 100, number of BUSCOs: 303)
# To reproduce this run: python /rds/general/user/rnowell/home/anaconda3/envs/busco/bin/run_BUSCO.py -i nAv.flot_genomic.fna -o eukaryota_nAv.flot_genomic.fna -l /rds/general/user/rnowell/home/anaconda3/envs/busco/opt/eukaryota_odb9/ -m genome -c 16 -t /rds/general/user/rnowell/ephemeral/ -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0937004M	Duplicated	AVAG00039	463860	472581	3738.9	2008
EOG0937004M	Duplicated	AVAG00335	65573	75528	3740.0	2008
EOG0937004M	Duplicated	AVAG00685	9169	25398	3659.3	1986
EOG09370082	Duplicated	AVAG00086	372979	380775	1910.9	1632
EOG09370082	Duplicated	AVAG00163	247275	255072	1910.9	1642
EOG093700N7	Duplicated	AVAG00086	209899	214109	888.3	796
EOG093700N7	Duplicated	AVAG00365	83668	87886	886.5	773
EOG0937017X	Complete	AVAG00154	140669	146913	395.7	530
EOG0937018Z	Duplicated	AVAG00003	658599	664631	1241.8	884
EOG0937018Z	Duplicated	AVAG00345	59360	66227	1237.8	884
EOG0937018Z	Duplicated	AVAG00464	59024	64183	1237.3	884
EOG0937019B	Duplicated	AVAG00027	388832	395586	1465.5	914
EOG0937019B	Duplicated	AVAG00084	384480	390990	1465.5	914
EOG093701EE	Duplicated	AVAG00060	444638	451412	1024.6	779
EOG093701EE	Duplicated	AVAG00158	95019	105282	1020.1	801
EOG093701IQ	Duplicated	AVAG00224	215139	226753	602.8	379
EOG093701IQ	Duplicated	AVAG00227	40779	50909	609.3	381
EOG093701IQ	Duplicated	AVAG00294	122468	133202	602.0	379
EOG093701S0	Duplicated	AVAG00049	349823	356986	1174.0	704
EOG093701S0	Duplicated	AVAG00803	24747	33876	1174.7	704
EOG093701SQ	Duplicated	AVAG00155	194084	198163	1263.6	899
EOG093701SQ	Duplicated	AVAG00175	230157	232863	1098.5	647
EOG093701SQ	Duplicated	AVAG00370	139305	147700	1248.2	822
EOG093701V7	Duplicated	AVAG00135	210972	216700	809.9	673
EOG093701V7	Duplicated	AVAG00293	66805	74395	809.5	688
EOG0937029K	Complete	AVAG00186	51306	54619	293.0	558
EOG093702AT	Duplicated	AVAG00008	783928	788629	556.6	492
EOG093702AT	Duplicated	AVAG00093	236025	240723	555.8	492
EOG093702DP	Duplicated	AVAG00191	248280	251628	391.3	470
EOG093702DP	Duplicated	AVAG00851	40743	44095	386.9	500
EOG093702MJ	Duplicated	AVAG00067	138568	148122	333.2	480
EOG093702MJ	Duplicated	AVAG01219	1566	11059	323.4	473
