feature	control.is_DE	control.is_DE_down	control.is_DE_up	control.log2FC	control.negLogPadj	control.padj	is.BUSCO	is.HGT	length	t7.is_DE	t7.is_DE_down	t7.is_DE_up	t7.log2FC	t7.negLogPadj	t7.padj	t24.is_DE	t24.is_DE_down	t24.is_DE_up	t24.log2FC	t24.negLogPadj	t24.padj
ARIC|g15363.t1	0	0	0	0	0	0	0	0	5490	1	0	1	7.3431258987722	6.01755153766183	9.60391842066466e-07	1	0	1	9.05409968063148	40.1441625464035	7.17525687699909e-41
ARIC|g21374.t1	0	0	0	0	0	0	0	1	5685	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g22315.t1	0	0	0	0	0	0	0	1	11421	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g31238.t1	0	0	0	0.227685174676256	0.34895314321477	0.447761611347537	0	1	11082	0	0	0	0.58068561749933	1.62347659844915	0.0237970652575606	0	0	0	-0.868547838778669	4.05266650333398	8.85795555081004e-05
ARIC|g33808.t1	0	0	0	0.0753292903477067	0.0713160925226474	0.848562640936404	0	1	13992	0	0	0	-1.71889037946442	13.635381691345	2.31535884031533e-14	1	1	0	-2.26956474343489	23.0140272942251	9.68217004547914e-24
ARIC|g34149.t1	0	0	0	0.391926795845351	0.473313815826987	0.33626849810373	0	1	4368	0	0	0	-0.52877005596042	0.671640369068362	0.212990204696651	1	1	0	-2.15043390649073	8.64821366921899	2.24794836210876e-09
ARIC|g34292.t1	0	0	0	0	0	0	0	1	7992	0	0	0	2.07764471705331	1.99789638156205	0.0100485551042794	0	0	0	0	0	0
ARIC|g35898.t1	0	0	0	0	0	0	0	1	5991	0	0	0	0	0	0	1	0	1	9.55999030662261	13.0216796819179	9.51306180011791e-14
ARIC|g39410.t1	0	0	0	0.379245594025129	0.692761689956232	0.202879567347235	0	1	7794	0	0	0	-0.354294254001217	0.650469461488581	0.223630244443834	0	0	0	-1.63286043188491	9.80658578738912	1.5610406508389e-10
ARIC|g40867.t1	0	0	0	0.950901774216601	2.46511755194535	0.0034267502099414	0	0	23346	0	0	0	-0.685701147051575	1.01289142380927	0.0970752630813398	0	0	0	-1.80913254914043	6.86306834013001	1.37066606260141e-07
ARIC|g42529.t1	0	0	0	0	0	0	0	1	7857	1	0	1	2.0067631696015	3.76327733189778	0.000172473615773268	0	0	0	0	0	0
ARIC|g43428.t1	0	0	0	1.511148879676	1.86782475402996	0.0135573636704569	0	1	5013	0	0	0	0.0140168894318026	0.00305469300138202	0.992990987938626	1	1	0	-3.77372700810375	14.274616021378	5.31354029795537e-15
ARIC|g43771.t1	0	0	0	0	0	0	0	1	5163	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g43873.t1	0	0	0	0	0	0	0	1	8418	0	0	0	0	0	0	0	0	0	0	0	0
ARIC|g45452.t1	0	0	0	0.94948492521464	6.4414142214959	3.61897662915394e-07	0	1	4866	0	0	0	-0.544521113323583	1.31170864871288	0.0487855663749205	1	1	0	-2.4389928660514	43.2253398311449	5.95196226093525e-44
