SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	SPAN
Av	BUSCO	telo	AVAG00685	0	9169	EOG0937004M:Duplicated	0	9169	0
Av	BUSCO	telo	AVAG00039	438860	463860	EOG0937004M:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00039	472581	497581	EOG0937004M:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00335	40573	65573	EOG0937004M:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00335	75528	100528	EOG0937004M:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00685	25398	50398	EOG0937004M:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00086	347979	372979	EOG09370082:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00086	380775	405775	EOG09370082:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00163	222275	247275	EOG09370082:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00163	255072	280072	EOG09370082:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00086	184899	209899	EOG093700N7:Duplicated	36	25000	0.00144
Av	BUSCO	telo	AVAG00086	214109	239109	EOG093700N7:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00365	58668	83668	EOG093700N7:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00365	87886	112886	EOG093700N7:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00154	115669	140669	EOG0937017X:Complete	24	25000	0.00096
Av	BUSCO	telo	AVAG00154	146913	171913	EOG0937017X:Complete	30	25000	0.0012
Av	BUSCO	telo	AVAG00003	633599	658599	EOG0937018Z:Duplicated	72	25000	0.00288
Av	BUSCO	telo	AVAG00003	664631	689631	EOG0937018Z:Duplicated	72	25000	0.00288
Av	BUSCO	telo	AVAG00345	34360	59360	EOG0937018Z:Duplicated	42	25000	0.00168
Av	BUSCO	telo	AVAG00345	66227	91227	EOG0937018Z:Duplicated	30	25000	0.0012
Av	BUSCO	telo	AVAG00464	34024	59024	EOG0937018Z:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00464	64183	89183	EOG0937018Z:Duplicated	66	25000	0.00264
Av	BUSCO	telo	AVAG00027	363832	388832	EOG0937019B:Duplicated	12	25000	0.00048
Av	BUSCO	telo	AVAG00027	395586	420586	EOG0937019B:Duplicated	18	25000	0.00072
Av	BUSCO	telo	AVAG00084	359480	384480	EOG0937019B:Duplicated	24	25000	0.00096
Av	BUSCO	telo	AVAG00084	390990	415990	EOG0937019B:Duplicated	18	25000	0.00072
