SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Av	NRPS	TEs	AVAG00005	121592	146592	AVAG|g1183.t1	483	25000	0.01932
Av	NRPS	TEs	AVAG00005	86162	111162	AVAG|g1183.t1	342	25000	0.01368
Av	NRPS	TEs	AVAG00005	124174	149174	AVAG|g1184.t1	483	25000	0.01932
Av	NRPS	TEs	AVAG00005	96745	121745	AVAG|g1184.t1	258	25000	0.01032
Av	NRPS	TEs	AVAG00005	129493	154493	AVAG|g1185.t1	588	25000	0.02352
Av	NRPS	TEs	AVAG00005	99665	124665	AVAG|g1185.t1	100	25000	0.004
Av	NRPS	TEs	AVAG00102	381183	406183	AVAG|g18640.t1	720	25000	0.0288
Av	NRPS	TEs	AVAG00102	413329	432004	AVAG|g18640.t1	380	18675	0.0203480589022758
Av	NRPS	TEs	AVAG00102	389472	414472	AVAG|g18641.t1	720	25000	0.0288
Av	NRPS	TEs	AVAG00102	419969	432004	AVAG|g18641.t1	380	12035	0.0315745741587038
Av	NRPS	TEs	AVAG00102	399225	424225	AVAG|g18642.t1	725	25000	0.029
Av	NRPS	TEs	AVAG00146	0	24160	AVAG|g23567.t1	226	24160	0.00935430463576159
Av	NRPS	TEs	AVAG00146	37252	62252	AVAG|g23567.t1	248	25000	0.00992
Av	NRPS	TEs	AVAG00010	529444	554444	AVAG|g2856.t1	1407	25000	0.05628
Av	NRPS	TEs	AVAG00010	559305	584305	AVAG|g2856.t1	42	25000	0.00168
Av	NRPS	TEs	AVAG00254	168599	193599	AVAG|g33165.t1	1625	25000	0.065
Av	NRPS	TEs	AVAG00254	200859	225859	AVAG|g33165.t1	93	25000	0.00372
Av	NRPS	TEs	AVAG00323	120941	145941	AVAG|g37374.t1	1173	25000	0.04692
Av	NRPS	TEs	AVAG00323	159219	184219	AVAG|g37374.t1	2842	25000	0.11368
Av	NRPS	TEs	AVAG00347	0	6188	AVAG|g38642.t1	896	6188	0.144796380090498
Av	NRPS	TEs	AVAG00347	19665	44665	AVAG|g38642.t1	734	25000	0.02936
Av	NRPS	TEs	AVAG00351	40129	65129	AVAG|g38862.t1	1054	25000	0.04216
Av	NRPS	TEs	AVAG00351	73316	98316	AVAG|g38862.t1	923	25000	0.03692
Av	NRPS	TEs	AVAG00351	147465	172465	AVAG|g38887.t1	1678	25000	0.06712
Av	NRPS	TEs	AVAG00351	175077	182182	AVAG|g38887.t1	0	7105	0
Av	NRPS	TEs	AVAG00360	124139	149139	AVAG|g39354.t1	0	25000	0
Av	NRPS	TEs	AVAG00360	87676	112676	AVAG|g39354.t1	0	25000	0
Av	NRPS	TEs	AVAG00360	104592	129592	AVAG|g39356.t1	0	25000	0
Av	NRPS	TEs	AVAG00360	139044	164044	AVAG|g39356.t1	33	25000	0.00132
Av	NRPS	TEs	AVAG00385	14759	39759	AVAG|g40644.t1	1485	25000	0.0594
