SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Ar	BUSCO	genes	ARIC00099	64495	89495	EOG0937004M:Duplicated	11136	25000	0.44544
Ar	BUSCO	genes	ARIC00099	97059	122059	EOG0937004M:Duplicated	17115	25000	0.6846
Ar	BUSCO	genes	ARIC00256	154467	179467	EOG0937004M:Duplicated	18825	25000	0.753
Ar	BUSCO	genes	ARIC00256	188520	193110	EOG0937004M:Duplicated	0	4590	0
Ar	BUSCO	genes	ARIC00045	249811	274811	EOG09370082:Complete	17990	25000	0.7196
Ar	BUSCO	genes	ARIC00045	290615	315615	EOG09370082:Complete	15027	25000	0.60108
Ar	BUSCO	genes	ARIC00045	100773	125773	EOG093700N7:Complete	14344	25000	0.57376
Ar	BUSCO	genes	ARIC00045	130378	155378	EOG093700N7:Complete	17702	25000	0.70808
Ar	BUSCO	genes	ARIC00280	0	5175	EOG0937017X:Complete	2943	5175	0.568695652173913
Ar	BUSCO	genes	ARIC00280	15473	40473	EOG0937017X:Complete	16446	25000	0.65784
Ar	BUSCO	genes	ARIC00095	299477	324477	EOG0937018Z:Duplicated	10045	25000	0.4018
Ar	BUSCO	genes	ARIC00095	331876	356876	EOG0937018Z:Duplicated	8762	25000	0.35048
Ar	BUSCO	genes	ARIC00199	204984	229984	EOG0937018Z:Duplicated	13471	25000	0.53884
Ar	BUSCO	genes	ARIC00199	235126	247095	EOG0937018Z:Duplicated	5696	11969	0.475896064834155
Ar	BUSCO	genes	ARIC00042	511834	536834	EOG0937019B:Duplicated	3325	25000	0.133
Ar	BUSCO	genes	ARIC00042	544810	569810	EOG0937019B:Duplicated	16006	25000	0.64024
Ar	BUSCO	genes	ARIC00295	33476	58476	EOG0937019B:Duplicated	3563	25000	0.14252
Ar	BUSCO	genes	ARIC00295	476	25476	EOG0937019B:Duplicated	18602	25000	0.74408
Ar	BUSCO	genes	ARIC00263	115043	140043	EOG093701EE:Duplicated	15507	25000	0.62028
Ar	BUSCO	genes	ARIC00263	152442	177442	EOG093701EE:Duplicated	15241	25000	0.60964
Ar	BUSCO	genes	ARIC00347	27042	52042	EOG093701EE:Duplicated	15497	25000	0.61988
Ar	BUSCO	genes	ARIC00347	59403	84403	EOG093701EE:Duplicated	14206	25000	0.56824
Ar	BUSCO	genes	ARIC00105	230422	255422	EOG093701IQ:Duplicated	4803	25000	0.19212
Ar	BUSCO	genes	ARIC00105	264231	289231	EOG093701IQ:Duplicated	5568	25000	0.22272
Ar	BUSCO	genes	ARIC00122	102722	127722	EOG093701IQ:Duplicated	5514	25000	0.22056
Ar	BUSCO	genes	ARIC00122	69045	94045	EOG093701IQ:Duplicated	6892	25000	0.27568
Ar	BUSCO	genes	ARIC00073	103558	128558	EOG093701S0:Duplicated	9949	25000	0.39796
Ar	BUSCO	genes	ARIC00073	70028	95028	EOG093701S0:Duplicated	16539	25000	0.66156
Ar	BUSCO	genes	ARIC00082	222719	247719	EOG093701S0:Duplicated	12716	25000	0.50864
Ar	BUSCO	genes	ARIC00082	257847	282847	EOG093701S0:Duplicated	7660	25000	0.3064
Ar	BUSCO	genes	ARIC00277	100964	125964	EOG093701S0:Duplicated	12963	25000	0.51852
Ar	BUSCO	genes	ARIC00277	66388	91388	EOG093701S0:Duplicated	11831	25000	0.47324
Ar	BUSCO	genes	ARIC00428	66316	91316	EOG093701SQ:Duplicated	10432	25000	0.41728
Ar	BUSCO	genes	ARIC00428	99109	105983	EOG093701SQ:Duplicated	1924	6874	0.279895257491999
Ar	BUSCO	genes	ARIC00615	10293	35293	EOG093701SQ:Duplicated	14688	25000	0.58752
Ar	BUSCO	genes	ARIC00615	42088	62202	EOG093701SQ:Duplicated	5456	20114	0.271253853037685
Ar	BUSCO	genes	ARIC00011	18394	43394	EOG093701V7:Duplicated	16518	25000	0.66072
Ar	BUSCO	genes	ARIC00011	50668	75668	EOG093701V7:Duplicated	15938	25000	0.63752
Ar	BUSCO	genes	ARIC00063	350339	375339	EOG093701V7:Duplicated	13974	25000	0.55896
Ar	BUSCO	genes	ARIC00063	381242	406242	EOG093701V7:Duplicated	11681	25000	0.46724
