SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	SPAN
Ar	NRPS	telo	ARIC00114	8793	33793	ARIC|g15363.t1	42	25000	0.00168
Ar	NRPS	telo	ARIC00169	194585	219585	ARIC|g21374.t1	48	25000	0.00192
Ar	NRPS	telo	ARIC00169	238571	263571	ARIC|g21374.t1	78	25000	0.00312
Ar	NRPS	telo	ARIC00007	984889	1009889	ARIC|g22315.t1	30	25000	0.0012
Ar	NRPS	telo	ARIC00294	126440	151440	ARIC|g31238.t1	42	25000	0.00168
Ar	NRPS	telo	ARIC00326	101092	126092	ARIC|g33808.t1	54	25000	0.00216
Ar	NRPS	telo	ARIC00326	140892	145719	ARIC|g33808.t1	6	4827	0.00124300807955252
Ar	NRPS	telo	ARIC00332	114881	139881	ARIC|g34149.t1	48	25000	0.00192
Ar	NRPS	telo	ARIC00335	139716	143943	ARIC|g34292.t1	0	4227	0
Ar	NRPS	telo	ARIC00335	106195	131195	ARIC|g34292.t1	24	25000	0.00096
Ar	NRPS	telo	ARIC00373	0	7472	ARIC|g35898.t1	12	7472	0.00160599571734475
Ar	NRPS	telo	ARIC00373	13791	38791	ARIC|g35898.t1	48	25000	0.00192
Ar	NRPS	telo	ARIC00473	38403	63403	ARIC|g39410.t1	42	25000	0.00168
Ar	NRPS	telo	ARIC00473	75508	90952	ARIC|g39410.t1	36	15444	0.00233100233100233
Ar	NRPS	telo	ARIC00531	77644	78707	ARIC|g40867.t1	0	1063	0
Ar	NRPS	telo	ARIC00531	10652	35652	ARIC|g40867.t1	30	25000	0.0012
Ar	NRPS	telo	ARIC00554	13537	38537	ARIC|g42529.t1	36	25000	0.00144
Ar	NRPS	telo	ARIC00554	46748	71748	ARIC|g42529.t1	24	25000	0.00096
Ar	NRPS	telo	ARIC00597	9004	34004	ARIC|g43428.t1	66	25000	0.00264
Ar	NRPS	telo	ARIC00614	37937	62442	ARIC|g43771.t1	42	24505	0.00171393593144256
Ar	NRPS	telo	ARIC00614	6868	31868	ARIC|g43771.t1	78	25000	0.00312
Ar	NRPS	telo	ARIC00619	27142	52142	ARIC|g43873.t1	48	25000	0.00192
Ar	NRPS	telo	ARIC00720	16043	41043	ARIC|g45452.t1	24	25000	0.00096
Ar	NRPS	telo	ARIC00720	46529	48828	ARIC|g45452.t1	6	2299	0.00260983036102653
Ar	NRPS	telo	ARIC00774	0	20530	ARIC|g46120.t1	66	20530	0.00321480759863614
Ar	NRPS	telo	ARIC00774	23523	42733	ARIC|g46120.t1	36	19210	0.00187402394586153
Ar	NRPS	telo	ARIC00821	0	2489	ARIC|g46663.t1	30	2489	0.0120530333467256
Ar	NRPS	telo	ARIC00821	29379	38506	ARIC|g46663.t1	12	9127	0.00131478032212118
Ar	NRPS	telo	ARIC00823	5825	30825	ARIC|g46675.t1	60	25000	0.0024
Ar	NRPS	telo	ARIC00857	0	15571	ARIC|g47056.t1	54	15571	0.00346798535739516
Ar	NRPS	telo	ARIC00857	22766	35876	ARIC|g47056.t1	24	13110	0.00183066361556064
Ar	NRPS	telo	ARIC00938	7594	29312	ARIC|g47799.t1	72	21718	0.00331522239616908
Ar	NRPS	telo	ARIC00997	0	5933	ARIC|g48209.t1	0	5933	0
Ar	NRPS	telo	ARIC00997	19517	26181	ARIC|g48209.t1	24	6664	0.00360144057623049
Ar	NRPS	telo	ARIC01121	0	10530	ARIC|g48980.t1	24	10530	0.00227920227920228
Ar	NRPS	telo	ARIC01129	6955	19827	ARIC|g49019.t1	36	12872	0.00279676817899316
Ar	NRPS	telo	ARIC01287	0	5189	ARIC|g49714.t1	0	5189	0
Ar	NRPS	telo	ARIC01416	5930	11264	ARIC|g51137.t1	6	5334	0.00112485939257593
Ar	NRPS	telo	ARIC01416	0	5962	ARIC|g51138.t1	24	5962	0.00402549480040255
Ar	NRPS	telo	ARIC01416	8578	11264	ARIC|g51138.t1	6	2686	0.00223380491437081
Ar	NRPS	telo	ARIC01447	6556	10658	ARIC|g51213.t1	0	4102	0
Ar	NRPS	telo	ARIC01461	0	2700	ARIC|g51257.t1	24	2700	0.00888888888888889
Ar	NRPS	telo	ARIC01739	0	1251	ARIC|g51804.t1	12	1251	0.00959232613908873
Ar	NRPS	telo	ARIC01739	4547	6100	ARIC|g51804.t1	6	1553	0.00386349001931745
Ar	NRPS	telo	ARIC00025	13779	38779	ARIC|g54050.t1	30	25000	0.0012
