SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Av	BUSCO	TEs	AVAG00039	438860	463860	EOG0937004M:Duplicated	40	25000	0.0016
Av	BUSCO	TEs	AVAG00039	472581	497581	EOG0937004M:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00335	40573	65573	EOG0937004M:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00335	75528	100528	EOG0937004M:Duplicated	62	25000	0.00248
Av	BUSCO	TEs	AVAG00685	0	9169	EOG0937004M:Duplicated	102	9169	0.0111244410513687
Av	BUSCO	TEs	AVAG00685	25398	50398	EOG0937004M:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00086	347979	372979	EOG09370082:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00086	380775	405775	EOG09370082:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00163	222275	247275	EOG09370082:Duplicated	132	25000	0.00528
Av	BUSCO	TEs	AVAG00163	255072	280072	EOG09370082:Duplicated	66	25000	0.00264
Av	BUSCO	TEs	AVAG00086	184899	209899	EOG093700N7:Duplicated	59	25000	0.00236
Av	BUSCO	TEs	AVAG00086	214109	239109	EOG093700N7:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00365	58668	83668	EOG093700N7:Duplicated	109	25000	0.00436
Av	BUSCO	TEs	AVAG00365	87886	112886	EOG093700N7:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00154	115669	140669	EOG0937017X:Complete	257	25000	0.01028
Av	BUSCO	TEs	AVAG00154	146913	171913	EOG0937017X:Complete	226	25000	0.00904
Av	BUSCO	TEs	AVAG00003	633599	658599	EOG0937018Z:Duplicated	463	25000	0.01852
Av	BUSCO	TEs	AVAG00003	664631	689631	EOG0937018Z:Duplicated	0	25000	0
Av	BUSCO	TEs	AVAG00345	34360	59360	EOG0937018Z:Duplicated	145	25000	0.0058
Av	BUSCO	TEs	AVAG00345	66227	91227	EOG0937018Z:Duplicated	1469	25000	0.05876
Av	BUSCO	TEs	AVAG00464	34024	59024	EOG0937018Z:Duplicated	146	25000	0.00584
Av	BUSCO	TEs	AVAG00464	64183	89183	EOG0937018Z:Duplicated	1469	25000	0.05876
Av	BUSCO	TEs	AVAG00027	363832	388832	EOG0937019B:Duplicated	228	25000	0.00912
Av	BUSCO	TEs	AVAG00027	395586	420586	EOG0937019B:Duplicated	50	25000	0.002
