SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Av	NRPS	genes	AVAG00005	121592	146592	AVAG|g1183.t1	16726	25000	0.66904
Av	NRPS	genes	AVAG00005	86162	111162	AVAG|g1183.t1	12817	25000	0.51268
Av	NRPS	genes	AVAG00005	124174	149174	AVAG|g1184.t1	16879	25000	0.67516
Av	NRPS	genes	AVAG00005	96745	121745	AVAG|g1184.t1	17317	25000	0.69268
Av	NRPS	genes	AVAG00005	129493	154493	AVAG|g1185.t1	14752	25000	0.59008
Av	NRPS	genes	AVAG00005	99665	124665	AVAG|g1185.t1	18793	25000	0.75172
Av	NRPS	genes	AVAG00102	381183	406183	AVAG|g18640.t1	9383	25000	0.37532
Av	NRPS	genes	AVAG00102	413329	432004	AVAG|g18640.t1	13178	18675	0.705649263721553
Av	NRPS	genes	AVAG00102	389472	414472	AVAG|g18641.t1	9632	25000	0.38528
Av	NRPS	genes	AVAG00102	419969	432004	AVAG|g18641.t1	7681	12035	0.638221852928957
Av	NRPS	genes	AVAG00102	399225	424225	AVAG|g18642.t1	12643	25000	0.50572
Av	NRPS	genes	AVAG00146	0	24160	AVAG|g23567.t1	9777	24160	0.404677152317881
Av	NRPS	genes	AVAG00146	37252	62252	AVAG|g23567.t1	8315	25000	0.3326
Av	NRPS	genes	AVAG00010	529444	554444	AVAG|g2856.t1	12318	25000	0.49272
Av	NRPS	genes	AVAG00010	559305	584305	AVAG|g2856.t1	17014	25000	0.68056
Av	NRPS	genes	AVAG00254	168599	193599	AVAG|g33165.t1	13284	25000	0.53136
Av	NRPS	genes	AVAG00254	200859	225859	AVAG|g33165.t1	10316	25000	0.41264
Av	NRPS	genes	AVAG00323	120941	145941	AVAG|g37374.t1	10505	25000	0.4202
Av	NRPS	genes	AVAG00323	159219	184219	AVAG|g37374.t1	6736	25000	0.26944
Av	NRPS	genes	AVAG00347	0	6188	AVAG|g38642.t1	1419	6188	0.229314802844215
Av	NRPS	genes	AVAG00347	19665	44665	AVAG|g38642.t1	11394	25000	0.45576
Av	NRPS	genes	AVAG00351	40129	65129	AVAG|g38862.t1	8263	25000	0.33052
Av	NRPS	genes	AVAG00351	73316	98316	AVAG|g38862.t1	9435	25000	0.3774
Av	NRPS	genes	AVAG00351	147465	172465	AVAG|g38887.t1	3948	25000	0.15792
Av	NRPS	genes	AVAG00351	175077	182182	AVAG|g38887.t1	1079	7105	0.151864883884588
Av	NRPS	genes	AVAG00360	124139	149139	AVAG|g39354.t1	15015	25000	0.6006
Av	NRPS	genes	AVAG00360	87676	112676	AVAG|g39354.t1	14840	25000	0.5936
