SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Ar	BUSCO	TEs	ARIC00099	64495	89495	EOG0937004M:Duplicated	142	25000	0.00568
Ar	BUSCO	TEs	ARIC00099	97059	122059	EOG0937004M:Duplicated	143	25000	0.00572
Ar	BUSCO	TEs	ARIC00256	154467	179467	EOG0937004M:Duplicated	89	25000	0.00356
Ar	BUSCO	TEs	ARIC00256	188520	193110	EOG0937004M:Duplicated	109	4590	0.0237472766884532
Ar	BUSCO	TEs	ARIC00045	249811	274811	EOG09370082:Complete	0	25000	0
Ar	BUSCO	TEs	ARIC00045	290615	315615	EOG09370082:Complete	71	25000	0.00284
Ar	BUSCO	TEs	ARIC00045	100773	125773	EOG093700N7:Complete	238	25000	0.00952
Ar	BUSCO	TEs	ARIC00045	130378	155378	EOG093700N7:Complete	0	25000	0
Ar	BUSCO	TEs	ARIC00280	0	5175	EOG0937017X:Complete	0	5175	0
Ar	BUSCO	TEs	ARIC00280	15473	40473	EOG0937017X:Complete	0	25000	0
Ar	BUSCO	TEs	ARIC00095	299477	324477	EOG0937018Z:Duplicated	213	25000	0.00852
Ar	BUSCO	TEs	ARIC00095	331876	356876	EOG0937018Z:Duplicated	235	25000	0.0094
Ar	BUSCO	TEs	ARIC00199	204984	229984	EOG0937018Z:Duplicated	81	25000	0.00324
Ar	BUSCO	TEs	ARIC00199	235126	247095	EOG0937018Z:Duplicated	151	11969	0.0126159244715515
Ar	BUSCO	TEs	ARIC00042	511834	536834	EOG0937019B:Duplicated	149	25000	0.00596
Ar	BUSCO	TEs	ARIC00042	544810	569810	EOG0937019B:Duplicated	51	25000	0.00204
Ar	BUSCO	TEs	ARIC00295	33476	58476	EOG0937019B:Duplicated	355	25000	0.0142
Ar	BUSCO	TEs	ARIC00295	476	25476	EOG0937019B:Duplicated	0	25000	0
Ar	BUSCO	TEs	ARIC00263	115043	140043	EOG093701EE:Duplicated	67	25000	0.00268
Ar	BUSCO	TEs	ARIC00263	152442	177442	EOG093701EE:Duplicated	58	25000	0.00232
Ar	BUSCO	TEs	ARIC00347	27042	52042	EOG093701EE:Duplicated	1090	25000	0.0436
Ar	BUSCO	TEs	ARIC00347	59403	84403	EOG093701EE:Duplicated	48	25000	0.00192
Ar	BUSCO	TEs	ARIC00105	230422	255422	EOG093701IQ:Duplicated	112	25000	0.00448
Ar	BUSCO	TEs	ARIC00105	264231	289231	EOG093701IQ:Duplicated	13384	25000	0.53536
Ar	BUSCO	TEs	ARIC00122	102722	127722	EOG093701IQ:Duplicated	58	25000	0.00232
Ar	BUSCO	TEs	ARIC00122	69045	94045	EOG093701IQ:Duplicated	13457	25000	0.53828
Ar	BUSCO	TEs	ARIC00073	103558	128558	EOG093701S0:Duplicated	793	25000	0.03172
Ar	BUSCO	TEs	ARIC00073	70028	95028	EOG093701S0:Duplicated	360	25000	0.0144
Ar	BUSCO	TEs	ARIC00082	222719	247719	EOG093701S0:Duplicated	78	25000	0.00312
Ar	BUSCO	TEs	ARIC00082	257847	282847	EOG093701S0:Duplicated	0	25000	0
Ar	BUSCO	TEs	ARIC00277	100964	125964	EOG093701S0:Duplicated	689	25000	0.02756
Ar	BUSCO	TEs	ARIC00277	66388	91388	EOG093701S0:Duplicated	140	25000	0.0056
Ar	BUSCO	TEs	ARIC00428	66316	91316	EOG093701SQ:Duplicated	436	25000	0.01744
Ar	BUSCO	TEs	ARIC00428	99109	105983	EOG093701SQ:Duplicated	0	6874	0
Ar	BUSCO	TEs	ARIC00615	10293	35293	EOG093701SQ:Duplicated	0	25000	0
Ar	BUSCO	TEs	ARIC00615	42088	62202	EOG093701SQ:Duplicated	265	20114	0.0131749030526002
Ar	BUSCO	TEs	ARIC00011	18394	43394	EOG093701V7:Duplicated	372	25000	0.01488
Ar	BUSCO	TEs	ARIC00011	50668	75668	EOG093701V7:Duplicated	115	25000	0.0046
Ar	BUSCO	TEs	ARIC00063	350339	375339	EOG093701V7:Duplicated	104	25000	0.00416
Ar	BUSCO	TEs	ARIC00063	381242	406242	EOG093701V7:Duplicated	402	25000	0.01608
Ar	BUSCO	TEs	ARIC00169	109972	134972	EOG0937029K:Duplicated	202	25000	0.00808
Ar	BUSCO	TEs	ARIC00169	142189	167189	EOG0937029K:Duplicated	865	25000	0.0346
Ar	BUSCO	TEs	ARIC00206	189388	214388	EOG0937029K:Duplicated	103	25000	0.00412
Ar	BUSCO	TEs	ARIC00206	217364	236099	EOG0937029K:Duplicated	146	18735	0.00779290098745663
Ar	BUSCO	TEs	ARIC00002	1482021	1507021	EOG093702AT:Duplicated	0	25000	0
