# BUSCO version is: 3.0.2 
# The lineage dataset is: eukaryota_odb9 (Creation date: 2016-11-02, number of species: 100, number of BUSCOs: 303)
# To reproduce this run: python /rds/general/user/rnowell/home/anaconda3/envs/busco/bin/run_BUSCO.py -i nAr.v1.8_genomic.fna -o eukaryota_nAr.v1.8_genomic.fna -l /rds/general/user/rnowell/home/anaconda3/envs/busco/opt/eukaryota_odb9/ -m genome -c 16 -t /rds/general/user/rnowell/ephemeral/ -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0937004M	Duplicated	ARIC00099	89495	97059	3736.2	2005
EOG0937004M	Duplicated	ARIC00256	179467	188520	3738.5	2005
EOG09370082	Complete	ARIC00045	274811	290615	1102.7	1197
EOG093700N7	Complete	ARIC00045	125773	130378	702.8	689
EOG0937017X	Complete	ARIC00280	5175	15473	750.6	1265
EOG0937018Z	Duplicated	ARIC00095	324477	331876	855.3	569
EOG0937018Z	Duplicated	ARIC00199	229984	235126	768.8	575
EOG0937019B	Duplicated	ARIC00042	536834	544810	1463.8	897
EOG0937019B	Duplicated	ARIC00295	25476	33476	1462.9	911
EOG093701EE	Duplicated	ARIC00263	140043	152442	848.5	614
EOG093701EE	Duplicated	ARIC00347	52042	59403	978.8	693
EOG093701IQ	Duplicated	ARIC00105	255422	264231	596.1	419
EOG093701IQ	Duplicated	ARIC00122	94045	102722	606.4	380
EOG093701S0	Duplicated	ARIC00073	95028	103558	1172.8	704
EOG093701S0	Duplicated	ARIC00082	247719	257847	1172.2	704
EOG093701S0	Duplicated	ARIC00277	91388	100964	1173.0	704
EOG093701SQ	Duplicated	ARIC00428	91316	99109	1078.0	782
EOG093701SQ	Duplicated	ARIC00615	35293	42088	951.1	724
EOG093701V7	Duplicated	ARIC00011	43394	50668	849.8	653
EOG093701V7	Duplicated	ARIC00063	375339	381242	849.5	652
EOG0937029K	Duplicated	ARIC00169	134972	142189	278.1	551
EOG0937029K	Duplicated	ARIC00206	214388	217364	263.4	511
EOG093702AT	Duplicated	ARIC00002	1507021	1515327	551.3	515
EOG093702AT	Duplicated	ARIC00274	111574	120856	544.0	463
EOG093702DP	Duplicated	ARIC00197	208585	211841	335.9	396
EOG093702DP	Duplicated	ARIC00288	144261	148438	332.1	396
EOG093702MJ	Duplicated	ARIC00004	825687	835199	331.5	423
EOG093702MJ	Duplicated	ARIC00029	347136	356680	329.0	427
EOG093702PE	Duplicated	ARIC00024	248270	263217	202.3	534
EOG093702PE	Duplicated	ARIC00062	250026	255934	219.9	655
EOG0937033T	Duplicated	ARIC00057	463167	470759	576.9	508
EOG0937033T	Duplicated	ARIC00088	398985	407306	581.1	475
EOG0937033T	Duplicated	ARIC00108	37676	43411	571.5	525
EOG0937036L	Complete	ARIC00064	424557	432253	560.2	688
EOG093703C8	Complete	ARIC00007	710876	719496	834.6	494
EOG093703DY	Complete	ARIC00433	11477	16443	290.8	441
EOG093703N5	Duplicated	ARIC00024	80875	82739	197.1	275
EOG093703N5	Duplicated	ARIC00062	79273	81137	197.1	276
EOG093703UX	Missing
EOG093703W1	Fragmented	ARIC00107	133003	141702	189.4	293
EOG093703WD	Complete	ARIC00453	14320	17471	519.7	410
EOG093703YA	Duplicated	ARIC00058	41849	48908	758.3	591
EOG093703YA	Duplicated	ARIC00154	102636	108831	757.7	558
EOG093703YA	Duplicated	ARIC00379	84115	90359	753.4	554
EOG0937049Y	Complete	ARIC00048	345790	352994	67.1	302
EOG093704GD	Duplicated	ARIC00017	358111	360559	420.8	423
EOG093704GD	Duplicated	ARIC00050	301332	303732	422.4	424
EOG093704HC	Duplicated	ARIC00001	873817	882251	720.3	396
EOG093704HC	Duplicated	ARIC00031	614954	624888	720.4	396
EOG093704HC	Duplicated	ARIC00221	156358	164777	673.7	415
EOG093704J7	Duplicated	ARIC00057	214175	221165	824.3	565
EOG093704J7	Duplicated	ARIC00088	151057	156217	826.9	579
EOG093704Q0	Complete	ARIC00035	533996	537840	279.5	439
EOG093704UY	Duplicated	ARIC00021	62764	70558	491.0	602
EOG093704UY	Duplicated	ARIC00156	204858	207682	503.9	622
EOG0937050C	Complete	ARIC00084	345053	349567	568.9	670
EOG093705DM	Duplicated	ARIC00026	431899	435268	334.7	282
EOG093705DM	Duplicated	ARIC00089	411696	416490	363.7	287
EOG093705DM	Duplicated	ARIC00234	113770	118709	380.8	287
EOG093705E5	Duplicated	ARIC00458	1	6025	422.9	496
EOG093705E5	Duplicated	ARIC00620	1	5795	424.6	497
EOG093705EY	Duplicated	ARIC00056	56899	63688	532.5	475
EOG093705EY	Duplicated	ARIC00081	21338	27297	532.9	429
EOG093705KN	Duplicated	ARIC00068	131504	135227	464.6	419
EOG093705KN	Duplicated	ARIC00093	203493	211194	462.9	417
EOG093705U4	Duplicated	ARIC00209	104366	108580	203.6	191
EOG093705U4	Duplicated	ARIC00298	42162	51806	208.7	192
EOG093705U4	Duplicated	ARIC00393	39555	49609	208.2	192
EOG093705VV	Duplicated	ARIC00187	235391	242241	599.3	424
EOG093705VV	Duplicated	ARIC00583	45105	51929	599.5	424
EOG093705YA	Duplicated	ARIC00021	334028	338230	801.8	527
EOG093705YA	Duplicated	ARIC00091	24932	27954	801.4	527
EOG093705YE	Complete	ARIC00693	42291	50653	226.2	338
EOG093705Z6	Duplicated	ARIC00006	442852	445976	897.6	462
EOG093705Z6	Duplicated	ARIC00491	38369	45052	898.4	462
EOG0937060I	Duplicated	ARIC00014	196303	203343	928.6	750
EOG0937060I	Duplicated	ARIC00278	148279	155447	924.0	744
EOG0937066G	Duplicated	ARIC00098	331213	337600	619.8	429
EOG0937066G	Duplicated	ARIC00157	121448	126943	607.6	413
EOG0937066G	Duplicated	ARIC00296	138443	143574	619.1	408
EOG0937068H	Duplicated	ARIC00001	1232127	1236434	395.8	439
EOG0937068H	Duplicated	ARIC00149	102203	105921	397.1	439
EOG093706PM	Duplicated	ARIC00002	1204299	1211424	303.5	246
EOG093706PM	Duplicated	ARIC00094	230272	237373	333.0	312
EOG093706RN	Duplicated	ARIC00201	156010	158980	381.9	520
EOG093706RN	Duplicated	ARIC00462	83573	87798	376.4	530
EOG093706X0	Duplicated	ARIC00267	66369	71683	349.7	431
