SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Ar	NRPS	genes	ARIC00114	8793	33793	ARIC|g15363.t1	11108	25000	0.44432
Ar	NRPS	genes	ARIC00169	194585	219585	ARIC|g21374.t1	1406	25000	0.05624
Ar	NRPS	genes	ARIC00169	238571	263571	ARIC|g21374.t1	8912	25000	0.35648
Ar	NRPS	genes	ARIC00007	984889	1009889	ARIC|g22315.t1	19424	25000	0.77696
Ar	NRPS	genes	ARIC00294	126440	151440	ARIC|g31238.t1	8908	25000	0.35632
Ar	NRPS	genes	ARIC00326	101092	126092	ARIC|g33808.t1	11011	25000	0.44044
Ar	NRPS	genes	ARIC00326	140892	145719	ARIC|g33808.t1	0	4827	0
Ar	NRPS	genes	ARIC00332	114881	139881	ARIC|g34149.t1	11616	25000	0.46464
Ar	NRPS	genes	ARIC00335	106195	131195	ARIC|g34292.t1	15980	25000	0.6392
Ar	NRPS	genes	ARIC00335	139716	143943	ARIC|g34292.t1	0	4227	0
Ar	NRPS	genes	ARIC00373	0	7472	ARIC|g35898.t1	6325	7472	0.846493576017131
Ar	NRPS	genes	ARIC00373	13791	38791	ARIC|g35898.t1	11176	25000	0.44704
Ar	NRPS	genes	ARIC00473	38403	63403	ARIC|g39410.t1	0	25000	0
Ar	NRPS	genes	ARIC00473	75508	90952	ARIC|g39410.t1	0	15444	0
Ar	NRPS	genes	ARIC00531	10652	35652	ARIC|g40867.t1	2294	25000	0.09176
Ar	NRPS	genes	ARIC00531	77644	78707	ARIC|g40867.t1	0	1063	0
Ar	NRPS	genes	ARIC00554	13537	38537	ARIC|g42529.t1	9047	25000	0.36188
Ar	NRPS	genes	ARIC00554	46748	71748	ARIC|g42529.t1	1520	25000	0.0608
Ar	NRPS	genes	ARIC00597	9004	34004	ARIC|g43428.t1	4592	25000	0.18368
Ar	NRPS	genes	ARIC00614	37937	62442	ARIC|g43771.t1	5064	24505	0.206651703733932
Ar	NRPS	genes	ARIC00614	6868	31868	ARIC|g43771.t1	2665	25000	0.1066
Ar	NRPS	genes	ARIC00619	27142	52142	ARIC|g43873.t1	12484	25000	0.49936
Ar	NRPS	genes	ARIC00720	16043	41043	ARIC|g45452.t1	10360	25000	0.4144
Ar	NRPS	genes	ARIC00720	46529	48828	ARIC|g45452.t1	0	2299	0
Ar	NRPS	genes	ARIC00774	0	20530	ARIC|g46120.t1	848	20530	0.0413054067218704
Ar	NRPS	genes	ARIC00774	23523	42733	ARIC|g46120.t1	751	19210	0.0390942217595003
Ar	NRPS	genes	ARIC00821	0	2489	ARIC|g46663.t1	0	2489	0
Ar	NRPS	genes	ARIC00821	29379	38506	ARIC|g46663.t1	0	9127	0
Ar	NRPS	genes	ARIC00823	5825	30825	ARIC|g46675.t1	16355	25000	0.6542
Ar	NRPS	genes	ARIC00857	0	15571	ARIC|g47056.t1	0	15571	0
Ar	NRPS	genes	ARIC00857	22766	35876	ARIC|g47056.t1	3203	13110	0.244317315026697
Ar	NRPS	genes	ARIC00938	7594	29312	ARIC|g47799.t1	327	21718	0.0150566350492679
Ar	NRPS	genes	ARIC00997	0	5933	ARIC|g48209.t1	0	5933	0
Ar	NRPS	genes	ARIC00997	19517	26181	ARIC|g48209.t1	1058	6664	0.158763505402161
Ar	NRPS	genes	ARIC01121	0	10530	ARIC|g48980.t1	0	10530	0
Ar	NRPS	genes	ARIC01129	6955	19827	ARIC|g49019.t1	644	12872	0.0500310752019888
Ar	NRPS	genes	ARIC01287	0	5189	ARIC|g49714.t1	0	5189	0
Ar	NRPS	genes	ARIC01416	5930	11264	ARIC|g51137.t1	2616	5334	0.490438695163105
Ar	NRPS	genes	ARIC01416	0	5962	ARIC|g51138.t1	5929	5962	0.994464944649446
Ar	NRPS	genes	ARIC01416	8578	11264	ARIC|g51138.t1	0	2686	0
Ar	NRPS	genes	ARIC01447	6556	10658	ARIC|g51213.t1	0	4102	0
Ar	NRPS	genes	ARIC01461	0	2700	ARIC|g51257.t1	1127	2700	0.417407407407407
Ar	NRPS	genes	ARIC01739	0	1251	ARIC|g51804.t1	495	1251	0.39568345323741
Ar	NRPS	genes	ARIC01739	4547	6100	ARIC|g51804.t1	0	1553	0
Ar	NRPS	genes	ARIC00025	13779	38779	ARIC|g54050.t1	19208	25000	0.76832
