SPECIES	TYPE	FEATURE	SCAFFOLD	START	END	GID	SUM	WINDOW	PROP
Ar	NRPS	TEs	ARIC00114	8793	33793	ARIC|g15363.t1	2274	25000	0.09096
Ar	NRPS	TEs	ARIC00169	194585	219585	ARIC|g21374.t1	390	25000	0.0156
Ar	NRPS	TEs	ARIC00169	238571	263571	ARIC|g21374.t1	1606	25000	0.06424
Ar	NRPS	TEs	ARIC00007	984889	1009889	ARIC|g22315.t1	48	25000	0.00192
Ar	NRPS	TEs	ARIC00294	126440	151440	ARIC|g31238.t1	727	25000	0.02908
Ar	NRPS	TEs	ARIC00326	101092	126092	ARIC|g33808.t1	0	25000	0
Ar	NRPS	TEs	ARIC00326	140892	145719	ARIC|g33808.t1	0	4827	0
Ar	NRPS	TEs	ARIC00332	114881	139881	ARIC|g34149.t1	844	25000	0.03376
Ar	NRPS	TEs	ARIC00335	106195	131195	ARIC|g34292.t1	500	25000	0.02
Ar	NRPS	TEs	ARIC00335	139716	143943	ARIC|g34292.t1	0	4227	0
Ar	NRPS	TEs	ARIC00373	0	7472	ARIC|g35898.t1	0	7472	0
Ar	NRPS	TEs	ARIC00373	13791	38791	ARIC|g35898.t1	863	25000	0.03452
Ar	NRPS	TEs	ARIC00473	38403	63403	ARIC|g39410.t1	3357	25000	0.13428
Ar	NRPS	TEs	ARIC00473	75508	90952	ARIC|g39410.t1	3298	15444	0.213545713545714
Ar	NRPS	TEs	ARIC00531	10652	35652	ARIC|g40867.t1	3649	25000	0.14596
Ar	NRPS	TEs	ARIC00531	77644	78707	ARIC|g40867.t1	213	1063	0.200376293508937
Ar	NRPS	TEs	ARIC00554	13537	38537	ARIC|g42529.t1	191	25000	0.00764
Ar	NRPS	TEs	ARIC00554	46748	71748	ARIC|g42529.t1	4569	25000	0.18276
Ar	NRPS	TEs	ARIC00597	9004	34004	ARIC|g43428.t1	2208	25000	0.08832
Ar	NRPS	TEs	ARIC00614	37937	62442	ARIC|g43771.t1	2768	24505	0.112956539481738
Ar	NRPS	TEs	ARIC00614	6868	31868	ARIC|g43771.t1	8171	25000	0.32684
Ar	NRPS	TEs	ARIC00619	27142	52142	ARIC|g43873.t1	42	25000	0.00168
Ar	NRPS	TEs	ARIC00720	16043	41043	ARIC|g45452.t1	4805	25000	0.1922
Ar	NRPS	TEs	ARIC00720	46529	48828	ARIC|g45452.t1	0	2299	0
Ar	NRPS	TEs	ARIC00774	0	20530	ARIC|g46120.t1	5693	20530	0.277301509985387
Ar	NRPS	TEs	ARIC00774	23523	42733	ARIC|g46120.t1	2142	19210	0.111504424778761
Ar	NRPS	TEs	ARIC00821	0	2489	ARIC|g46663.t1	0	2489	0
Ar	NRPS	TEs	ARIC00821	29379	38506	ARIC|g46663.t1	1234	9127	0.135203243124795
Ar	NRPS	TEs	ARIC00823	5825	30825	ARIC|g46675.t1	591	25000	0.02364
Ar	NRPS	TEs	ARIC00857	0	15571	ARIC|g47056.t1	11755	15571	0.754929034744076
Ar	NRPS	TEs	ARIC00857	22766	35876	ARIC|g47056.t1	826	13110	0.0630053394355454
Ar	NRPS	TEs	ARIC00938	7594	29312	ARIC|g47799.t1	7874	21718	0.36255640482549
Ar	NRPS	TEs	ARIC00997	0	5933	ARIC|g48209.t1	2096	5933	0.35327827406034
Ar	NRPS	TEs	ARIC00997	19517	26181	ARIC|g48209.t1	1748	6664	0.262304921968788
Ar	NRPS	TEs	ARIC01121	0	10530	ARIC|g48980.t1	424	10530	0.0402659069325736
Ar	NRPS	TEs	ARIC01129	6955	19827	ARIC|g49019.t1	3428	12872	0.266314481044127
Ar	NRPS	TEs	ARIC01287	0	5189	ARIC|g49714.t1	3656	5189	0.704567354018115
Ar	NRPS	TEs	ARIC01416	5930	11264	ARIC|g51137.t1	0	5334	0
Ar	NRPS	TEs	ARIC01416	0	5962	ARIC|g51138.t1	0	5962	0
Ar	NRPS	TEs	ARIC01416	8578	11264	ARIC|g51138.t1	0	2686	0
Ar	NRPS	TEs	ARIC01447	6556	10658	ARIC|g51213.t1	610	4102	0.14870794734276
Ar	NRPS	TEs	ARIC01461	0	2700	ARIC|g51257.t1	0	2700	0
Ar	NRPS	TEs	ARIC01739	0	1251	ARIC|g51804.t1	0	1251	0
Ar	NRPS	TEs	ARIC01739	4547	6100	ARIC|g51804.t1	75	1553	0.0482936252414681
Ar	NRPS	TEs	ARIC00025	13779	38779	ARIC|g54050.t1	0	25000	0
